in:Orientation,in:WWR,in:Shade_Position,in:Shade_Depth,in:VT,in:Lighting_Control,out:sDA_[%],out:ASE_[%],out:Total_EUI_[kWh/m²],out:Cooling_[kWh/m²],out:Heating_[kWh/m²],img
East,30%,Left,50cm,70%,Daylight_Control,48.48,6.88,100.7,5.6,47.6,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation1_WWR0_Shade_Position2_Shade_Depth2_VT3_Lighting_Control1.png
North,30%,Left,50cm,70%,Daylight_Control,60.06,23.27,90,6.2,37.8,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation2_WWR0_Shade_Position2_Shade_Depth2_VT3_Lighting_Control1.png
West,30%,Left,50cm,70%,Daylight_Control,54.95,18.94,100.3,5.9,47.6,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation3_WWR0_Shade_Position2_Shade_Depth2_VT3_Lighting_Control1.png
South,40%,Left,50cm,70%,Daylight_Control,53.62,0,106.2,5.4,53.9,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation0_WWR1_Shade_Position2_Shade_Depth2_VT3_Lighting_Control1.png
East,40%,Left,50cm,70%,Daylight_Control,56.64,9.59,99.5,6,47.6,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation1_WWR1_Shade_Position2_Shade_Depth2_VT3_Lighting_Control1.png
North,40%,Left,50cm,70%,Daylight_Control,69.38,29.34,85.7,6.3,34.7,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation2_WWR1_Shade_Position2_Shade_Depth2_VT3_Lighting_Control1.png
West,40%,Left,50cm,70%,Daylight_Control,63.25,25.91,99.1,6.3,47.4,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation3_WWR1_Shade_Position2_Shade_Depth2_VT3_Lighting_Control1.png
South,50%,Left,50cm,70%,Daylight_Control,59.42,0,106.7,5.7,55.3,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation0_WWR2_Shade_Position2_Shade_Depth2_VT3_Lighting_Control1.png
East,50%,Left,50cm,70%,Daylight_Control,63.55,11.69,98.8,6.5,47.5,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation1_WWR2_Shade_Position2_Shade_Depth2_VT3_Lighting_Control1.png
North,50%,Left,50cm,70%,Daylight_Control,77.17,32.72,82.3,7,31.3,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation2_WWR2_Shade_Position2_Shade_Depth2_VT3_Lighting_Control1.png
