in:Orientation,in:WWR,in:Shade_Position,in:Shade_Depth,in:VT,in:Lighting_Control,out:sDA_[%],out:ASE_[%],out:Total_EUI_[kWh/m²],out:Cooling_[kWh/m²],out:Heating_[kWh/m²],img
South,60%,Left,0cm,70%,Daylight_Control,67.07,0,106.7,5.7,56.5,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation0_WWR3_Shade_Position2_Shade_Depth0_VT3_Lighting_Control1.png
East,60%,Left,0cm,70%,Daylight_Control,72.19,16.33,97.1,7.1,46.2,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation1_WWR3_Shade_Position2_Shade_Depth0_VT3_Lighting_Control1.png
North,60%,Left,0cm,70%,Daylight_Control,93.02,37.3,78.4,7.7,27.5,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation2_WWR3_Shade_Position2_Shade_Depth0_VT3_Lighting_Control1.png
West,60%,Left,0cm,70%,Daylight_Control,79.71,34.89,98.4,7.4,47.4,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation3_WWR3_Shade_Position2_Shade_Depth0_VT3_Lighting_Control1.png
South,30%,Top,50cm,70%,Daylight_Control,42.55,0,106,5,52.1,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation0_WWR0_Shade_Position0_Shade_Depth2_VT3_Lighting_Control1.png
East,30%,Top,50cm,70%,Daylight_Control,47.43,6.84,100.8,5.4,47.7,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation1_WWR0_Shade_Position0_Shade_Depth2_VT3_Lighting_Control1.png
North,30%,Top,50cm,70%,Daylight_Control,57.86,19.38,91.7,5.4,39.9,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation2_WWR0_Shade_Position0_Shade_Depth2_VT3_Lighting_Control1.png
West,30%,Top,50cm,70%,Daylight_Control,52.61,14.8,101.3,5.6,48.5,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation3_WWR0_Shade_Position0_Shade_Depth2_VT3_Lighting_Control1.png
South,40%,Top,50cm,70%,Daylight_Control,51.19,0,106.7,5.3,54.2,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation0_WWR1_Shade_Position0_Shade_Depth2_VT3_Lighting_Control1.png
East,40%,Top,50cm,70%,Daylight_Control,55.28,9.42,100,5.5,48.2,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation1_WWR1_Shade_Position0_Shade_Depth2_VT3_Lighting_Control1.png
North,40%,Top,50cm,70%,Daylight_Control,66.12,25.81,89,5.8,38.1,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation2_WWR1_Shade_Position0_Shade_Depth2_VT3_Lighting_Control1.png
West,40%,Top,50cm,70%,Daylight_Control,61.11,21.48,100.4,5.8,48.8,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation3_WWR1_Shade_Position0_Shade_Depth2_VT3_Lighting_Control1.png
South,50%,Top,50cm,70%,Daylight_Control,57.22,0,107.2,5.4,55.8,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation0_WWR2_Shade_Position0_Shade_Depth2_VT3_Lighting_Control1.png
East,50%,Top,50cm,70%,Daylight_Control,61.72,11.01,99.5,5.9,48.5,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation1_WWR2_Shade_Position0_Shade_Depth2_VT3_Lighting_Control1.png
North,50%,Top,50cm,70%,Daylight_Control,73.37,29.51,86.2,6.1,35.9,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation2_WWR2_Shade_Position0_Shade_Depth2_VT3_Lighting_Control1.png
West,50%,Top,50cm,70%,Daylight_Control,67.78,26.25,100.3,6.1,49.5,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation3_WWR2_Shade_Position0_Shade_Depth2_VT3_Lighting_Control1.png
South,60%,Top,50cm,70%,Daylight_Control,64.13,0,107.4,5.4,57.2,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation0_WWR3_Shade_Position0_Shade_Depth2_VT3_Lighting_Control1.png
East,60%,Top,50cm,70%,Daylight_Control,69,13.04,98.9,6.3,48.3,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation1_WWR3_Shade_Position0_Shade_Depth2_VT3_Lighting_Control1.png
North,60%,Top,50cm,70%,Daylight_Control,85.81,33.54,82.2,6.3,32.5,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation2_WWR3_Shade_Position0_Shade_Depth2_VT3_Lighting_Control1.png
West,60%,Top,50cm,70%,Daylight_Control,75.2,30.05,99.9,6.6,49.5,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation3_WWR3_Shade_Position0_Shade_Depth2_VT3_Lighting_Control1.png
South,30%,Right,50cm,70%,Daylight_Control,44.68,0,105.9,5,52.2,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation0_WWR0_Shade_Position1_Shade_Depth2_VT3_Lighting_Control1.png
East,30%,Right,50cm,70%,Daylight_Control,49.63,9.89,99.7,5.6,46.7,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation1_WWR0_Shade_Position1_Shade_Depth2_VT3_Lighting_Control1.png
North,30%,Right,50cm,70%,Daylight_Control,60.23,23.44,90,6.2,37.8,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation2_WWR0_Shade_Position1_Shade_Depth2_VT3_Lighting_Control1.png
West,30%,Right,50cm,70%,Daylight_Control,53.42,16.06,101,5.9,48.1,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation3_WWR0_Shade_Position1_Shade_Depth2_VT3_Lighting_Control1.png
South,40%,Right,50cm,70%,Daylight_Control,53.08,0,106.1,5.3,53.9,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation0_WWR1_Shade_Position1_Shade_Depth2_VT3_Lighting_Control1.png
East,40%,Right,50cm,70%,Daylight_Control,57.72,12.53,98.5,6.1,46.7,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation1_WWR1_Shade_Position1_Shade_Depth2_VT3_Lighting_Control1.png
North,40%,Right,50cm,70%,Daylight_Control,69.48,29.47,85.9,6.3,34.9,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation2_WWR1_Shade_Position1_Shade_Depth2_VT3_Lighting_Control1.png
West,40%,Right,50cm,70%,Daylight_Control,62.33,23.41,100,6.3,48.3,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation3_WWR1_Shade_Position1_Shade_Depth2_VT3_Lighting_Control1.png
South,50%,Right,50cm,70%,Daylight_Control,59.38,0,106.7,5.7,55.3,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation0_WWR2_Shade_Position1_Shade_Depth2_VT3_Lighting_Control1.png
East,50%,Right,50cm,70%,Daylight_Control,63.96,14.84,97.8,6.5,46.5,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation1_WWR2_Shade_Position1_Shade_Depth2_VT3_Lighting_Control1.png
North,50%,Right,50cm,70%,Daylight_Control,77.54,32.69,82.3,7,31.4,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation2_WWR2_Shade_Position1_Shade_Depth2_VT3_Lighting_Control1.png
West,50%,Right,50cm,70%,Daylight_Control,69.44,28.39,99.7,6.7,48.5,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation3_WWR2_Shade_Position1_Shade_Depth2_VT3_Lighting_Control1.png
South,60%,Right,50cm,70%,Daylight_Control,65.75,0,106.9,5.6,56.7,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation0_WWR3_Shade_Position1_Shade_Depth2_VT3_Lighting_Control1.png
East,60%,Right,50cm,70%,Daylight_Control,71.27,16.33,97.3,7,46.3,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation1_WWR3_Shade_Position1_Shade_Depth2_VT3_Lighting_Control1.png
North,60%,Right,50cm,70%,Daylight_Control,91.9,36.42,79.5,7.5,28.7,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation2_WWR3_Shade_Position1_Shade_Depth2_VT3_Lighting_Control1.png
West,60%,Right,50cm,70%,Daylight_Control,77.74,32.11,99.6,7.3,48.7,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation3_WWR3_Shade_Position1_Shade_Depth2_VT3_Lighting_Control1.png
South,30%,Left,50cm,70%,Daylight_Control,45.29,0,106,5.1,52.3,https://github.com/deerns/DesignExplorer/tree/8f2ea121a84486f3bc1158a5af28c35903dfe49d/design_explorer_data/DLF/Orientation0_WWR0_Shade_Position2_Shade_Depth2_VT3_Lighting_Control1.png
