in:Orientation,in:WWR,in:Shade Position,in:Shade Depth,in:VT,in:Lighting Control,out:sDA [%],out:ASE [%],out:Total EUI [kWh/m²],out:Cooling [kWh/m²],out:Heating [kWh/m²],img
East,40%,Left,0cm,40%,No Lighting Control,58.33,12.53,115.5,6.8,42.5,Orientation1_WWR1_Shade Position2_Shade Depth0_VT0_Lighting Control0.png
North,40%,Left,0cm,40%,No Lighting Control,70.29,30.49,108,7.5,34.4,Orientation2_WWR1_Shade Position2_Shade Depth0_VT0_Lighting Control0.png
West,40%,Left,0cm,40%,No Lighting Control,64.13,26.02,116.3,7.2,43.1,Orientation3_WWR1_Shade Position2_Shade Depth0_VT0_Lighting Control0.png
South,50%,Left,0cm,40%,No Lighting Control,60.67,0,121.8,7,48.8,Orientation0_WWR2_Shade Position2_Shade Depth0_VT0_Lighting Control0.png
East,50%,Left,0cm,40%,No Lighting Control,64.87,14.84,116.3,7,43.2,Orientation1_WWR2_Shade Position2_Shade Depth0_VT0_Lighting Control0.png
North,50%,Left,0cm,40%,No Lighting Control,78.66,33.47,107.3,7.8,33.5,Orientation2_WWR2_Shade Position2_Shade Depth0_VT0_Lighting Control0.png
West,50%,Left,0cm,40%,No Lighting Control,70.6,30.96,117.3,7.4,43.8,Orientation3_WWR2_Shade Position2_Shade Depth0_VT0_Lighting Control0.png
South,60%,Left,0cm,40%,No Lighting Control,67.21,0,122.7,6.7,49.9,Orientation0_WWR3_Shade Position2_Shade Depth0_VT0_Lighting Control0.png
East,60%,Left,0cm,40%,No Lighting Control,71.99,16.33,117.1,7.3,43.8,Orientation1_WWR3_Shade Position2_Shade Depth0_VT0_Lighting Control0.png
North,60%,Left,0cm,40%,No Lighting Control,93.06,37.3,106,8,31.9,Orientation2_WWR3_Shade Position2_Shade Depth0_VT0_Lighting Control0.png
West,60%,Left,0cm,40%,No Lighting Control,79.71,34.89,118.2,7.7,44.5,Orientation3_WWR3_Shade Position2_Shade Depth0_VT0_Lighting Control0.png
South,30%,Top,50cm,40%,No Lighting Control,42.75,0,118.6,6.5,46,Orientation0_WWR0_Shade Position0_Shade Depth1_VT0_Lighting Control0.png
