in:Orientation,in:WWR,in:Shade Position,in:Shade Depth,in:VT,in:Lighting Control,out:sDA [%],out:ASE [%],out:Total EUI [kWh/m²],out:Cooling [kWh/m²],out:Heating [kWh/m²],img
North,40%,Right,0cm,50%,No Lighting Control,70.46,30.49,105.3,7.9,31.3,Orientation2_WWR1_Shade Position1_Shade Depth0_VT1_Lighting Control0.png
West,40%,Right,0cm,50%,No Lighting Control,63.82,26.02,115.2,7.5,41.6,Orientation3_WWR1_Shade Position1_Shade Depth0_VT1_Lighting Control0.png
South,50%,Right,0cm,50%,No Lighting Control,60.57,0,120.8,6.9,47.8,Orientation0_WWR2_Shade Position1_Shade Depth0_VT1_Lighting Control0.png
East,50%,Right,0cm,50%,No Lighting Control,64.7,14.84,114.7,7.5,41.2,Orientation1_WWR2_Shade Position1_Shade Depth0_VT1_Lighting Control0.png
North,50%,Right,0cm,50%,No Lighting Control,78.69,33.47,103.8,8.3,29.5,Orientation2_WWR2_Shade Position1_Shade Depth0_VT1_Lighting Control0.png
West,50%,Right,0cm,50%,No Lighting Control,71.24,30.96,115.9,8,41.8,Orientation3_WWR2_Shade Position1_Shade Depth0_VT1_Lighting Control0.png
South,60%,Right,0cm,50%,No Lighting Control,66.84,0,121.9,7.1,48.7,Orientation0_WWR3_Shade Position1_Shade Depth0_VT1_Lighting Control0.png
East,60%,Right,0cm,50%,No Lighting Control,72.12,16.33,115.3,7.8,41.4,Orientation1_WWR3_Shade Position1_Shade Depth0_VT1_Lighting Control0.png
North,60%,Right,0cm,50%,No Lighting Control,93.33,37.3,102.6,8.6,27.9,Orientation2_WWR3_Shade Position1_Shade Depth0_VT1_Lighting Control0.png
West,60%,Right,0cm,50%,No Lighting Control,79.13,34.89,116.5,8.3,42.1,Orientation3_WWR3_Shade Position1_Shade Depth0_VT1_Lighting Control0.png
South,30%,Left,0cm,50%,No Lighting Control,46.54,0,118.1,6.8,45.3,Orientation0_WWR0_Shade Position2_Shade Depth0_VT1_Lighting Control0.png
East,30%,Left,0cm,50%,No Lighting Control,50.64,9.89,114,6.9,41,Orientation1_WWR0_Shade Position2_Shade Depth0_VT1_Lighting Control0.png
North,30%,Left,0cm,50%,No Lighting Control,61.62,24.8,106.7,7.6,33,Orientation2_WWR0_Shade Position2_Shade Depth0_VT1_Lighting Control0.png
West,30%,Left,0cm,50%,No Lighting Control,55.35,19.21,114.8,7.3,41.5,Orientation3_WWR0_Shade Position2_Shade Depth0_VT1_Lighting Control0.png
South,40%,Left,0cm,50%,No Lighting Control,54.1,0,119.8,7.1,46.6,Orientation0_WWR1_Shade Position2_Shade Depth0_VT1_Lighting Control0.png
East,40%,Left,0cm,50%,No Lighting Control,58.2,12.53,114.2,7.1,41,Orientation1_WWR1_Shade Position2_Shade Depth0_VT1_Lighting Control0.png
North,40%,Left,0cm,50%,No Lighting Control,70.63,30.49,105.3,7.9,31.3,Orientation2_WWR1_Shade Position2_Shade Depth0_VT1_Lighting Control0.png
West,40%,Left,0cm,50%,No Lighting Control,63.96,26.02,115.2,7.5,41.6,Orientation3_WWR1_Shade Position2_Shade Depth0_VT1_Lighting Control0.png
South,50%,Left,0cm,50%,No Lighting Control,60.3,0,120.8,6.9,47.8,Orientation0_WWR2_Shade Position2_Shade Depth0_VT1_Lighting Control0.png
East,50%,Left,0cm,50%,No Lighting Control,65.28,14.84,114.7,7.5,41.2,Orientation1_WWR2_Shade Position2_Shade Depth0_VT1_Lighting Control0.png
North,50%,Left,0cm,50%,No Lighting Control,78.79,33.47,103.8,8.3,29.5,Orientation2_WWR2_Shade Position2_Shade Depth0_VT1_Lighting Control0.png
West,50%,Left,0cm,50%,No Lighting Control,70.6,30.96,115.9,8,41.8,Orientation3_WWR2_Shade Position2_Shade Depth0_VT1_Lighting Control0.png
South,60%,Left,0cm,50%,No Lighting Control,67.28,0,121.9,7.1,48.7,Orientation0_WWR3_Shade Position2_Shade Depth0_VT1_Lighting Control0.png
East,60%,Left,0cm,50%,No Lighting Control,71.92,16.33,115.3,7.8,41.4,Orientation1_WWR3_Shade Position2_Shade Depth0_VT1_Lighting Control0.png
North,60%,Left,0cm,50%,No Lighting Control,93.46,37.3,102.6,8.6,27.9,Orientation2_WWR3_Shade Position2_Shade Depth0_VT1_Lighting Control0.png
West,60%,Left,0cm,50%,No Lighting Control,79.37,34.89,116.5,8.3,42.1,Orientation3_WWR3_Shade Position2_Shade Depth0_VT1_Lighting Control0.png
South,30%,Top,50cm,50%,No Lighting Control,43.02,0,118.3,6.7,45.5,Orientation0_WWR0_Shade Position0_Shade Depth1_VT1_Lighting Control0.png
East,30%,Top,50cm,50%,No Lighting Control,47.29,6.84,114.7,6.7,41.9,Orientation1_WWR0_Shade Position0_Shade Depth1_VT1_Lighting Control0.png
North,30%,Top,50cm,50%,No Lighting Control,57.52,19.38,108.5,7.1,35.3,Orientation2_WWR0_Shade Position0_Shade Depth1_VT1_Lighting Control0.png
West,30%,Top,50cm,50%,No Lighting Control,52.27,14.8,115.4,7,42.3,Orientation3_WWR0_Shade Position0_Shade Depth1_VT1_Lighting Control0.png
South,40%,Top,50cm,50%,No Lighting Control,51.15,0,119.9,6.8,47,Orientation0_WWR1_Shade Position0_Shade Depth1_VT1_Lighting Control0.png
East,40%,Top,50cm,50%,No Lighting Control,55.15,9.42,115.1,6.8,42.3,Orientation1_WWR1_Shade Position0_Shade Depth1_VT1_Lighting Control0.png
North,40%,Top,50cm,50%,No Lighting Control,66.02,25.81,107.6,7.3,34.3,Orientation2_WWR1_Shade Position0_Shade Depth1_VT1_Lighting Control0.png
West,40%,Top,50cm,50%,No Lighting Control,61.15,21.48,115.9,7.1,42.7,Orientation3_WWR1_Shade Position0_Shade Depth1_VT1_Lighting Control0.png
South,50%,Top,50cm,50%,No Lighting Control,57.38,0,121,6.7,48.3,Orientation0_WWR2_Shade Position0_Shade Depth1_VT1_Lighting Control0.png
East,50%,Top,50cm,50%,No Lighting Control,61.79,11.01,115.8,7,42.7,Orientation1_WWR2_Shade Position0_Shade Depth1_VT1_Lighting Control0.png
North,50%,Top,50cm,50%,No Lighting Control,73.81,29.51,106.7,7.5,33.2,Orientation2_WWR2_Shade Position0_Shade Depth1_VT1_Lighting Control0.png
West,50%,Top,50cm,50%,No Lighting Control,67.34,26.25,116.6,7.3,43.3,Orientation3_WWR2_Shade Position0_Shade Depth1_VT1_Lighting Control0.png
South,60%,Top,50cm,50%,No Lighting Control,63.86,0,122.1,6.8,49.2,Orientation0_WWR3_Shade Position0_Shade Depth1_VT1_Lighting Control0.png
East,60%,Top,50cm,50%,No Lighting Control,68.97,13.04,116.4,7.3,43,Orientation1_WWR3_Shade Position0_Shade Depth1_VT1_Lighting Control0.png
North,60%,Top,50cm,50%,No Lighting Control,85.94,33.54,105.2,7.8,31.3,Orientation2_WWR3_Shade Position0_Shade Depth1_VT1_Lighting Control0.png
West,60%,Top,50cm,50%,No Lighting Control,75.47,30.05,117.4,7.6,43.7,Orientation3_WWR3_Shade Position0_Shade Depth1_VT1_Lighting Control0.png
South,30%,Right,50cm,50%,No Lighting Control,44.99,0,118.2,6.8,45.4,Orientation0_WWR0_Shade Position1_Shade Depth1_VT1_Lighting Control0.png
East,30%,Right,50cm,50%,No Lighting Control,49.76,9.89,114.1,6.9,41.1,Orientation1_WWR0_Shade Position1_Shade Depth1_VT1_Lighting Control0.png
North,30%,Right,50cm,50%,No Lighting Control,60.43,23.44,107.4,7.5,33.9,Orientation2_WWR0_Shade Position1_Shade Depth1_VT1_Lighting Control0.png
West,30%,Right,50cm,50%,No Lighting Control,53.62,16.06,115.5,7.2,42.3,Orientation3_WWR0_Shade Position1_Shade Depth1_VT1_Lighting Control0.png
South,40%,Right,50cm,50%,No Lighting Control,53.25,0,119.4,6.6,46.7,Orientation0_WWR1_Shade Position1_Shade Depth1_VT1_Lighting Control0.png
East,40%,Right,50cm,50%,No Lighting Control,57.55,12.53,114.4,7.2,41.1,Orientation1_WWR1_Shade Position1_Shade Depth1_VT1_Lighting Control0.png
North,40%,Right,50cm,50%,No Lighting Control,69.78,29.47,106,7.8,32.1,Orientation2_WWR1_Shade Position1_Shade Depth1_VT1_Lighting Control0.png
West,40%,Right,50cm,50%,No Lighting Control,62.43,23.41,115.8,7.4,42.3,Orientation3_WWR1_Shade Position1_Shade Depth1_VT1_Lighting Control0.png
South,50%,Right,50cm,50%,No Lighting Control,59.15,0,120.8,6.8,47.9,Orientation0_WWR2_Shade Position1_Shade Depth1_VT1_Lighting Control0.png
East,50%,Right,50cm,50%,No Lighting Control,64.09,14.84,114.8,7.4,41.3,Orientation1_WWR2_Shade Position1_Shade Depth1_VT1_Lighting Control0.png
North,50%,Right,50cm,50%,No Lighting Control,77.57,32.69,104.4,8.1,30.2,Orientation2_WWR2_Shade Position1_Shade Depth1_VT1_Lighting Control0.png
West,50%,Right,50cm,50%,No Lighting Control,69.41,28.39,116.5,7.8,42.6,Orientation3_WWR2_Shade Position1_Shade Depth1_VT1_Lighting Control0.png
South,60%,Right,50cm,50%,No Lighting Control,65.99,0,121.9,7,48.8,Orientation0_WWR3_Shade Position1_Shade Depth1_VT1_Lighting Control0.png
East,60%,Right,50cm,50%,No Lighting Control,71.38,16.33,115.3,7.8,41.5,Orientation1_WWR3_Shade Position1_Shade Depth1_VT1_Lighting Control0.png
North,60%,Right,50cm,50%,No Lighting Control,91.7,36.42,103.3,8.4,28.8,Orientation2_WWR3_Shade Position1_Shade Depth1_VT1_Lighting Control0.png
West,60%,Right,50cm,50%,No Lighting Control,77.54,32.11,117.5,8.1,43.3,Orientation3_WWR3_Shade Position1_Shade Depth1_VT1_Lighting Control0.png
South,30%,Left,50cm,50%,No Lighting Control,45.33,0,118.2,6.7,45.4,Orientation0_WWR0_Shade Position2_Shade Depth1_VT1_Lighting Control0.png
East,30%,Left,50cm,50%,No Lighting Control,49.15,6.88,114.6,6.8,41.7,Orientation1_WWR0_Shade Position2_Shade Depth1_VT1_Lighting Control0.png
North,30%,Left,50cm,50%,No Lighting Control,59.89,23.27,107.3,7.5,33.8,Orientation2_WWR0_Shade Position2_Shade Depth1_VT1_Lighting Control0.png
West,30%,Left,50cm,50%,No Lighting Control,54.95,18.94,114.9,7.2,41.6,Orientation3_WWR0_Shade Position2_Shade Depth1_VT1_Lighting Control0.png
South,40%,Left,50cm,50%,No Lighting Control,53.56,0,119.7,6.9,46.7,Orientation0_WWR1_Shade Position2_Shade Depth1_VT1_Lighting Control0.png
East,40%,Left,50cm,50%,No Lighting Control,56.78,9.59,115,7.1,41.8,Orientation1_WWR1_Shade Position2_Shade Depth1_VT1_Lighting Control0.png
North,40%,Left,50cm,50%,No Lighting Control,69.58,29.34,105.9,7.8,32,Orientation2_WWR1_Shade Position2_Shade Depth1_VT1_Lighting Control0.png
West,40%,Left,50cm,50%,No Lighting Control,63.92,25.91,115.2,7.5,41.7,Orientation3_WWR1_Shade Position2_Shade Depth1_VT1_Lighting Control0.png
South,50%,Left,50cm,50%,No Lighting Control,59.76,0,120.8,6.9,47.9,Orientation0_WWR2_Shade Position2_Shade Depth1_VT1_Lighting Control0.png
East,50%,Left,50cm,50%,No Lighting Control,63.45,11.69,115.5,7.4,42,Orientation1_WWR2_Shade Position2_Shade Depth1_VT1_Lighting Control0.png
North,50%,Left,50cm,50%,No Lighting Control,77.68,32.72,104.4,8.1,30.2,Orientation2_WWR2_Shade Position2_Shade Depth1_VT1_Lighting Control0.png
West,50%,Left,50cm,50%,No Lighting Control,70.97,30.76,115.9,7.9,41.9,Orientation3_WWR2_Shade Position2_Shade Depth1_VT1_Lighting Control0.png
South,60%,Left,50cm,50%,No Lighting Control,66.19,0,122,7.1,48.8,Orientation0_WWR3_Shade Position2_Shade Depth1_VT1_Lighting Control0.png
East,60%,Left,50cm,50%,No Lighting Control,70.43,13.08,116.3,7.7,42.5,Orientation1_WWR3_Shade Position2_Shade Depth1_VT1_Lighting Control0.png
North,60%,Left,50cm,50%,No Lighting Control,91.94,36.42,103.3,8.5,28.7,Orientation2_WWR3_Shade Position2_Shade Depth1_VT1_Lighting Control0.png
West,60%,Left,50cm,50%,No Lighting Control,79.51,34.79,116.7,8.2,42.4,Orientation3_WWR3_Shade Position2_Shade Depth1_VT1_Lighting Control0.png
South,30%,Top,100cm,50%,No Lighting Control,40.18,0,118.4,6.6,45.7,Orientation0_WWR0_Shade Position0_Shade Depth2_VT1_Lighting Control0.png
East,30%,Top,100cm,50%,No Lighting Control,44.72,3.62,115.1,6.5,42.5,Orientation1_WWR0_Shade Position0_Shade Depth2_VT1_Lighting Control0.png
North,30%,Top,100cm,50%,No Lighting Control,55.22,14.87,110,6.8,37.1,Orientation2_WWR0_Shade Position0_Shade Depth2_VT1_Lighting Control0.png
West,30%,Top,100cm,50%,No Lighting Control,49.9,11.11,115.7,6.8,42.8,Orientation3_WWR0_Shade Position0_Shade Depth2_VT1_Lighting Control0.png
South,40%,Top,100cm,50%,No Lighting Control,48.85,0,120,6.7,47.2,Orientation0_WWR1_Shade Position0_Shade Depth2_VT1_Lighting Control0.png
East,40%,Top,100cm,50%,No Lighting Control,52.85,4.95,115.9,6.7,43.1,Orientation1_WWR1_Shade Position0_Shade Depth2_VT1_Lighting Control0.png
North,40%,Top,100cm,50%,No Lighting Control,62.94,20.56,109.8,6.9,36.8,Orientation2_WWR1_Shade Position0_Shade Depth2_VT1_Lighting Control0.png
West,40%,Top,100cm,50%,No Lighting Control,58.3,16.63,116.4,6.9,43.5,Orientation3_WWR1_Shade Position0_Shade Depth2_VT1_Lighting Control0.png
South,50%,Top,100cm,50%,No Lighting Control,55.25,0,121.1,6.5,48.5,Orientation0_WWR2_Shade Position0_Shade Depth2_VT1_Lighting Control0.png
East,50%,Top,100cm,50%,No Lighting Control,58.98,6.44,116.8,6.8,43.9,Orientation1_WWR2_Shade Position0_Shade Depth2_VT1_Lighting Control0.png
North,50%,Top,100cm,50%,No Lighting Control,69.92,24.53,109.5,7.1,36.4,Orientation2_WWR2_Shade Position0_Shade Depth2_VT1_Lighting Control0.png
West,50%,Top,100cm,50%,No Lighting Control,65.11,21.48,117.4,7,44.4,Orientation3_WWR2_Shade Position0_Shade Depth2_VT1_Lighting Control0.png
South,60%,Top,100cm,50%,No Lighting Control,61.35,0,122.2,6.7,49.5,Orientation0_WWR3_Shade Position0_Shade Depth2_VT1_Lighting Control0.png
East,60%,Top,100cm,50%,No Lighting Control,66.26,9.99,117.2,7,44.1,Orientation1_WWR3_Shade Position0_Shade Depth2_VT1_Lighting Control0.png
North,60%,Top,100cm,50%,No Lighting Control,80.45,29.07,107.9,7.2,34.7,Orientation2_WWR3_Shade Position0_Shade Depth2_VT1_Lighting Control0.png
West,60%,Top,100cm,50%,No Lighting Control,72.9,25.81,117.9,7.2,44.7,Orientation3_WWR3_Shade Position0_Shade Depth2_VT1_Lighting Control0.png
South,30%,Right,100cm,50%,No Lighting Control,43.94,0,118.2,6.7,45.4,Orientation0_WWR0_Shade Position1_Shade Depth2_VT1_Lighting Control0.png
East,30%,Right,100cm,50%,No Lighting Control,49.22,9.89,114.1,6.8,41.2,Orientation1_WWR0_Shade Position1_Shade Depth2_VT1_Lighting Control0.png
North,30%,Right,100cm,50%,No Lighting Control,60.03,22.43,107.9,7.4,34.4,Orientation2_WWR0_Shade Position1_Shade Depth2_VT1_Lighting Control0.png
West,30%,Right,100cm,50%,No Lighting Control,52.44,14.46,115.8,7.1,42.6,Orientation3_WWR0_Shade Position1_Shade Depth2_VT1_Lighting Control0.png
South,40%,Right,100cm,50%,No Lighting Control,52.03,0,119.5,6.6,46.8,Orientation0_WWR1_Shade Position1_Shade Depth2_VT1_Lighting Control0.png
East,40%,Right,100cm,50%,No Lighting Control,57.18,12.53,114.4,7.1,41.2,Orientation1_WWR1_Shade Position1_Shade Depth2_VT1_Lighting Control0.png
North,40%,Right,100cm,50%,No Lighting Control,68.8,28.59,106.5,7.8,32.7,Orientation2_WWR1_Shade Position1_Shade Depth2_VT1_Lighting Control0.png
West,40%,Right,100cm,50%,No Lighting Control,61.11,21.92,116.3,7.4,42.8,Orientation3_WWR1_Shade Position1_Shade Depth2_VT1_Lighting Control0.png
South,50%,Right,100cm,50%,No Lighting Control,58.54,0,120.8,6.8,48,Orientation0_WWR2_Shade Position1_Shade Depth2_VT1_Lighting Control0.png
East,50%,Right,100cm,50%,No Lighting Control,63.82,14.84,114.8,7.4,41.3,Orientation1_WWR2_Shade Position1_Shade Depth2_VT1_Lighting Control0.png
North,50%,Right,100cm,50%,No Lighting Control,76.66,32.08,104.9,8.1,30.8,Orientation2_WWR2_Shade Position1_Shade Depth2_VT1_Lighting Control0.png
West,50%,Right,100cm,50%,No Lighting Control,68.19,27.2,117.1,7.8,43.3,Orientation3_WWR2_Shade Position1_Shade Depth2_VT1_Lighting Control0.png
South,60%,Right,100cm,50%,No Lighting Control,64.87,0,122,7,48.9,Orientation0_WWR3_Shade Position1_Shade Depth2_VT1_Lighting Control0.png
East,60%,Right,100cm,50%,No Lighting Control,70.7,16.33,115.5,7.7,41.7,Orientation1_WWR3_Shade Position1_Shade Depth2_VT1_Lighting Control0.png
North,60%,Right,100cm,50%,No Lighting Control,90.51,35.7,104,8.4,29.5,Orientation2_WWR3_Shade Position1_Shade Depth2_VT1_Lighting Control0.png
West,60%,Right,100cm,50%,No Lighting Control,75.54,30.28,118.1,8.1,43.9,Orientation3_WWR3_Shade Position1_Shade Depth2_VT1_Lighting Control0.png
South,30%,Left,100cm,50%,No Lighting Control,45.12,0,118.2,6.7,45.4,Orientation0_WWR0_Shade Position2_Shade Depth2_VT1_Lighting Control0.png
East,30%,Left,100cm,50%,No Lighting Control,47.76,5.32,115.1,6.8,42.2,Orientation1_WWR0_Shade Position2_Shade Depth2_VT1_Lighting Control0.png
North,30%,Left,100cm,50%,No Lighting Control,59.28,21.88,107.9,7.4,34.4,Orientation2_WWR0_Shade Position2_Shade Depth2_VT1_Lighting Control0.png
West,30%,Left,100cm,50%,No Lighting Control,54.37,18.8,114.9,7.2,41.7,Orientation3_WWR0_Shade Position2_Shade Depth2_VT1_Lighting Control0.png
South,40%,Left,100cm,50%,No Lighting Control,52.81,0,119.7,6.9,46.8,Orientation0_WWR1_Shade Position2_Shade Depth2_VT1_Lighting Control0.png
East,40%,Left,100cm,50%,No Lighting Control,56.1,8.37,115.5,7.1,42.3,Orientation1_WWR1_Shade Position2_Shade Depth2_VT1_Lighting Control0.png
North,40%,Left,100cm,50%,No Lighting Control,68.33,28.66,106.4,7.8,32.6,Orientation2_WWR1_Shade Position2_Shade Depth2_VT1_Lighting Control0.png
West,40%,Left,100cm,50%,No Lighting Control,63.38,25.85,115.3,7.4,41.7,Orientation3_WWR1_Shade Position2_Shade Depth2_VT1_Lighting Control0.png
South,50%,Left,100cm,50%,No Lighting Control,58.81,0,121.1,7,48,Orientation0_WWR2_Shade Position2_Shade Depth2_VT1_Lighting Control0.png
East,50%,Left,100cm,50%,No Lighting Control,62.7,10.23,116.1,7.3,42.7,Orientation1_WWR2_Shade Position2_Shade Depth2_VT1_Lighting Control0.png
North,50%,Left,100cm,50%,No Lighting Control,76.66,32.22,104.8,8.1,30.7,Orientation2_WWR2_Shade Position2_Shade Depth2_VT1_Lighting Control0.png
West,50%,Left,100cm,50%,No Lighting Control,70.19,30.56,115.9,7.8,42,Orientation3_WWR2_Shade Position2_Shade Depth2_VT1_Lighting Control0.png
South,60%,Left,100cm,50%,No Lighting Control,65.72,0,122,7,48.9,Orientation0_WWR3_Shade Position2_Shade Depth2_VT1_Lighting Control0.png
East,60%,Left,100cm,50%,No Lighting Control,69.55,11.25,117,7.7,43.3,Orientation1_WWR3_Shade Position2_Shade Depth2_VT1_Lighting Control0.png
North,60%,Left,100cm,50%,No Lighting Control,90.58,35.7,103.8,8.4,29.4,Orientation2_WWR3_Shade Position2_Shade Depth2_VT1_Lighting Control0.png
West,60%,Left,100cm,50%,No Lighting Control,79.07,34.69,116.7,8.2,42.5,Orientation3_WWR3_Shade Position2_Shade Depth2_VT1_Lighting Control0.png
South,30%,Top,0cm,60%,No Lighting Control,46.38,0,117.8,7,44.7,Orientation0_WWR0_Shade Position0_Shade Depth0_VT2_Lighting Control0.png
East,30%,Top,0cm,60%,No Lighting Control,50.24,9.89,113,7.1,39.8,Orientation1_WWR0_Shade Position0_Shade Depth0_VT2_Lighting Control0.png
North,30%,Top,0cm,60%,No Lighting Control,61.48,24.8,104.7,7.9,30.7,Orientation2_WWR0_Shade Position0_Shade Depth0_VT2_Lighting Control0.png
West,30%,Top,0cm,60%,No Lighting Control,55.45,19.21,114,7.5,40.4,Orientation3_WWR0_Shade Position0_Shade Depth0_VT2_Lighting Control0.png
South,40%,Top,0cm,60%,No Lighting Control,54.1,0,118.9,7,45.9,Orientation0_WWR1_Shade Position0_Shade Depth0_VT2_Lighting Control0.png
East,40%,Top,0cm,60%,No Lighting Control,58.3,12.53,113.2,7.5,39.6,Orientation1_WWR1_Shade Position0_Shade Depth0_VT2_Lighting Control0.png
North,40%,Top,0cm,60%,No Lighting Control,70.46,30.49,102.2,8.3,27.8,Orientation2_WWR1_Shade Position0_Shade Depth0_VT2_Lighting Control0.png
West,40%,Top,0cm,60%,No Lighting Control,63.72,26.02,114.3,7.9,40.3,Orientation3_WWR1_Shade Position0_Shade Depth0_VT2_Lighting Control0.png
South,50%,Top,0cm,60%,No Lighting Control,60.37,0,120.1,7.1,46.9,Orientation0_WWR2_Shade Position0_Shade Depth0_VT2_Lighting Control0.png
East,50%,Top,0cm,60%,No Lighting Control,65.24,14.84,113.4,8,39.3,Orientation1_WWR2_Shade Position0_Shade Depth0_VT2_Lighting Control0.png
North,50%,Top,0cm,60%,No Lighting Control,78.22,33.47,100.4,8.8,25.6,Orientation2_WWR2_Shade Position0_Shade Depth0_VT2_Lighting Control0.png
West,50%,Top,0cm,60%,No Lighting Control,70.9,30.96,114.6,8.4,40.1,Orientation3_WWR2_Shade Position0_Shade Depth0_VT2_Lighting Control0.png
South,60%,Top,0cm,60%,No Lighting Control,67.17,0,121.1,7.4,47.6,Orientation0_WWR3_Shade Position0_Shade Depth0_VT2_Lighting Control0.png
East,60%,Top,0cm,60%,No Lighting Control,71.75,16.33,113.7,8.4,39.2,Orientation1_WWR3_Shade Position0_Shade Depth0_VT2_Lighting Control0.png
North,60%,Top,0cm,60%,No Lighting Control,93.5,37.3,98.7,9.2,23.5,Orientation2_WWR3_Shade Position0_Shade Depth0_VT2_Lighting Control0.png
West,60%,Top,0cm,60%,No Lighting Control,79.51,34.89,114.9,8.8,40.1,Orientation3_WWR3_Shade Position0_Shade Depth0_VT2_Lighting Control0.png
South,30%,Right,0cm,60%,No Lighting Control,46.38,0,117.8,7,44.7,Orientation0_WWR0_Shade Position1_Shade Depth0_VT2_Lighting Control0.png
East,30%,Right,0cm,60%,No Lighting Control,50.44,9.89,113,7.1,39.8,Orientation1_WWR0_Shade Position1_Shade Depth0_VT2_Lighting Control0.png
North,30%,Right,0cm,60%,No Lighting Control,61.55,24.8,104.7,7.9,30.7,Orientation2_WWR0_Shade Position1_Shade Depth0_VT2_Lighting Control0.png
West,30%,Right,0cm,60%,No Lighting Control,55.32,19.21,114,7.5,40.4,Orientation3_WWR0_Shade Position1_Shade Depth0_VT2_Lighting Control0.png
South,40%,Right,0cm,60%,No Lighting Control,54.34,0,118.9,7,45.9,Orientation0_WWR1_Shade Position1_Shade Depth0_VT2_Lighting Control0.png
East,40%,Right,0cm,60%,No Lighting Control,58.3,12.53,113.2,7.5,39.6,Orientation1_WWR1_Shade Position1_Shade Depth0_VT2_Lighting Control0.png
North,40%,Right,0cm,60%,No Lighting Control,70.02,30.49,102.2,8.3,27.8,Orientation2_WWR1_Shade Position1_Shade Depth0_VT2_Lighting Control0.png
West,40%,Right,0cm,60%,No Lighting Control,63.75,26.02,114.3,7.9,40.3,Orientation3_WWR1_Shade Position1_Shade Depth0_VT2_Lighting Control0.png
South,50%,Right,0cm,60%,No Lighting Control,60.2,0,120.1,7.1,46.9,Orientation0_WWR2_Shade Position1_Shade Depth0_VT2_Lighting Control0.png
East,50%,Right,0cm,60%,No Lighting Control,64.63,14.84,113.4,8,39.3,Orientation1_WWR2_Shade Position1_Shade Depth0_VT2_Lighting Control0.png
North,50%,Right,0cm,60%,No Lighting Control,78.69,33.47,100.4,8.8,25.6,Orientation2_WWR2_Shade Position1_Shade Depth0_VT2_Lighting Control0.png
West,50%,Right,0cm,60%,No Lighting Control,70.87,30.96,114.6,8.4,40.1,Orientation3_WWR2_Shade Position1_Shade Depth0_VT2_Lighting Control0.png
South,60%,Right,0cm,60%,No Lighting Control,67.01,0,121.1,7.4,47.6,Orientation0_WWR3_Shade Position1_Shade Depth0_VT2_Lighting Control0.png
East,60%,Right,0cm,60%,No Lighting Control,72.19,16.33,113.7,8.4,39.2,Orientation1_WWR3_Shade Position1_Shade Depth0_VT2_Lighting Control0.png
North,60%,Right,0cm,60%,No Lighting Control,93.39,37.3,98.7,9.2,23.5,Orientation2_WWR3_Shade Position1_Shade Depth0_VT2_Lighting Control0.png
West,60%,Right,0cm,60%,No Lighting Control,79.44,34.89,114.9,8.8,40.1,Orientation3_WWR3_Shade Position1_Shade Depth0_VT2_Lighting Control0.png
South,30%,Left,0cm,60%,No Lighting Control,46.54,0,117.8,7,44.7,Orientation0_WWR0_Shade Position2_Shade Depth0_VT2_Lighting Control0.png
East,30%,Left,0cm,60%,No Lighting Control,50.3,9.89,113,7.1,39.8,Orientation1_WWR0_Shade Position2_Shade Depth0_VT2_Lighting Control0.png
North,30%,Left,0cm,60%,No Lighting Control,61.55,24.8,104.7,7.9,30.7,Orientation2_WWR0_Shade Position2_Shade Depth0_VT2_Lighting Control0.png
West,30%,Left,0cm,60%,No Lighting Control,55.56,19.21,114,7.5,40.4,Orientation3_WWR0_Shade Position2_Shade Depth0_VT2_Lighting Control0.png
South,40%,Left,0cm,60%,No Lighting Control,54.1,0,118.9,7,45.9,Orientation0_WWR1_Shade Position2_Shade Depth0_VT2_Lighting Control0.png
East,40%,Left,0cm,60%,No Lighting Control,58.06,12.53,113.2,7.5,39.6,Orientation1_WWR1_Shade Position2_Shade Depth0_VT2_Lighting Control0.png
North,40%,Left,0cm,60%,No Lighting Control,70.33,30.49,102.2,8.3,27.8,Orientation2_WWR1_Shade Position2_Shade Depth0_VT2_Lighting Control0.png
West,40%,Left,0cm,60%,No Lighting Control,64.06,26.02,114.3,7.9,40.3,Orientation3_WWR1_Shade Position2_Shade Depth0_VT2_Lighting Control0.png
South,50%,Left,0cm,60%,No Lighting Control,60.64,0,120.1,7.1,46.9,Orientation0_WWR2_Shade Position2_Shade Depth0_VT2_Lighting Control0.png
East,50%,Left,0cm,60%,No Lighting Control,64.7,14.84,113.4,8,39.3,Orientation1_WWR2_Shade Position2_Shade Depth0_VT2_Lighting Control0.png
North,50%,Left,0cm,60%,No Lighting Control,78.39,33.47,100.4,8.8,25.6,Orientation2_WWR2_Shade Position2_Shade Depth0_VT2_Lighting Control0.png
West,50%,Left,0cm,60%,No Lighting Control,70.73,30.96,114.6,8.4,40.1,Orientation3_WWR2_Shade Position2_Shade Depth0_VT2_Lighting Control0.png
South,60%,Left,0cm,60%,No Lighting Control,66.9,0,121.1,7.4,47.6,Orientation0_WWR3_Shade Position2_Shade Depth0_VT2_Lighting Control0.png
East,60%,Left,0cm,60%,No Lighting Control,72.05,16.33,113.7,8.4,39.2,Orientation1_WWR3_Shade Position2_Shade Depth0_VT2_Lighting Control0.png
North,60%,Left,0cm,60%,No Lighting Control,93.63,37.3,98.7,9.2,23.5,Orientation2_WWR3_Shade Position2_Shade Depth0_VT2_Lighting Control0.png
